% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.14    0.000152         152         1           execve
 13.04    0.000073           5        14           mmap
 10.00    0.000056           3        17         3 newfstatat
  6.79    0.000038           5         7           openat
  5.89    0.000033           2        14           rt_sigaction
  3.93    0.000022           5         4           mprotect
  3.21    0.000018           2         7           fstat
  2.68    0.000015           2         6           read
  2.68    0.000015           2         7           close
  2.32    0.000013           4         3         1 access
  2.14    0.000012           2         5           rt_sigprocmask
  1.61    0.000009           3         3           lseek
  1.43    0.000008           8         1           munmap
  1.43    0.000008           2         3           brk
  1.43    0.000008           2         3         3 ioctl
  1.25    0.000007           2         3           getppid
  1.25    0.000007           2         3           prlimit64
  1.07    0.000006           6         1           write
  1.07    0.000006           2         3           getpid
  1.07    0.000006           2         3         1 fcntl
  1.07    0.000006           2         3           getuid
  0.89    0.000005           2         2           pread64
  0.89    0.000005           1         3           getgid
  0.89    0.000005           1         3           geteuid
  0.89    0.000005           1         3           getegid
  0.54    0.000003           3         1           dup2
  0.54    0.000003           3         1           uname
  0.54    0.000003           3         1           getpgrp
  0.54    0.000003           3         1           arch_prctl
  0.54    0.000003           3         1           set_robust_list
  0.36    0.000002           2         1           futex
  0.36    0.000002           2         1           set_tid_address
  0.36    0.000002           2         1           getrandom
  0.18    0.000001           1         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000560           4       131         8 total
