% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 46.13    0.000149           6        22           mmap
 16.72    0.000054           9         6           mprotect
  5.57    0.000018           3         5           openat
  4.95    0.000016           2         6           fstat
  3.72    0.000012           3         4           read
  3.72    0.000012           2         5           close
  3.72    0.000012          12         1           munmap
  3.10    0.000010          10         1           write
  2.48    0.000008           2         3           brk
  2.48    0.000008           4         2           pread64
  1.55    0.000005           5         1           prlimit64
  1.24    0.000004           4         1           set_robust_list
  1.24    0.000004           4         1           rseq
  0.93    0.000003           3         1           arch_prctl
  0.93    0.000003           3         1           futex
  0.93    0.000003           3         1           getrandom
  0.62    0.000002           2         1           set_tid_address
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.000323           5        64         1 total
