% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 20.19    0.000167          11        14           getdents64
 16.81    0.000139           2        66           rt_sigaction
 15.84    0.000131           2        59        18 newfstatat
  8.71    0.000072           2        27         5 openat
  6.17    0.000051           1        34           fstat
  5.44    0.000045           1        26         2 lseek
  4.96    0.000041           1        22           read
  4.96    0.000041           1        22           close
  4.47    0.000037           2        14         9 ioctl
  3.75    0.000031           1        27           mmap
  2.78    0.000023           3         7           brk
  1.21    0.000010           2         4           fcntl
  1.09    0.000009           2         4         3 readlink
  0.85    0.000007           2         3           getcwd
  0.73    0.000006           3         2           getrandom
  0.48    0.000004           4         1           write
  0.36    0.000003           3         1           gettid
  0.24    0.000002           2         1           getuid
  0.24    0.000002           2         1           getgid
  0.24    0.000002           2         1           geteuid
  0.24    0.000002           2         1           getegid
  0.24    0.000002           2         1           futex
  0.00    0.000000           0         6           mprotect
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.000827           2       355        38 total
